<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;19/12/24;00:00;923;1411703
TRNFP;D;20/12/24;00:00;922;1087389
TRNFP;D;21/12/24;00:00;995.5;2521707
TRNFP;D;24/12/24;00:00;1042;2277578
TRNFP;D;25/12/24;00:00;1054;2092692
TRNFP;D;26/12/24;00:00;1125;3551178
TRNFP;D;27/12/24;00:00;1126.5;2905613
TRNFP;D;28/12/24;00:00;1151;1775607
TRNFP;D;29/12/24;00:00;1232;4119443
TRNFP;D;31/12/24;00:00;1230.5;3545841
TRNFP;D;04/01/25;00:00;1196.5;1613603
TRNFP;D;07/01/25;00:00;1194;485364
TRNFP;D;09/01/25;00:00;1203;452131
TRNFP;D;10/01/25;00:00;1136;1670422
TRNFP;D;11/01/25;00:00;1172;2139104
TRNFP;D;14/01/25;00:00;1170.5;1326860
TRNFP;D;15/01/25;00:00;1155.5;1216871
TRNFP;D;16/01/25;00:00;1166.5;935840
TRNFP;D;17/01/25;00:00;1183.5;1149466
TRNFP;D;18/01/25;00:00;1197;1079688
TRNFP;D;21/01/25;00:00;1166;1317246
TRNFP;D;22/01/25;00:00;1168.5;789961
TRNFP;D;23/01/25;00:00;1167;1097276
TRNFP;D;24/01/25;00:00;1179.5;611595
TRNFP;D;25/01/25;00:00;1166;622042
TRNFP;D;28/01/25;00:00;1152;540393
TRNFP;D;29/01/25;00:00;1171;847192
TRNFP;D;30/01/25;00:00;1157;546450
TRNFP;D;31/01/25;00:00;1163;1459284
TRNFP;D;01/02/25;00:00;1156;1736490
TRNFP;D;04/02/25;00:00;1151.6;774465
TRNFP;D;05/02/25;00:00;1119.2;1796252
TRNFP;D;06/02/25;00:00;1140;1268374
TRNFP;D;07/02/25;00:00;1130.8;783326
TRNFP;D;08/02/25;00:00;1120.8;558301
TRNFP;D;11/02/25;00:00;1130.4;1259757
TRNFP;D;12/02/25;00:00;1183.6;1888399
TRNFP;D;13/02/25;00:00;1253;3566681
TRNFP;D;14/02/25;00:00;1233.6;2615611
TRNFP;D;15/02/25;00:00;1209;2656751
TRNFP;D;18/02/25;00:00;1255.6;1898600
TRNFP;D;19/02/25;00:00;1233.6;1679663
TRNFP;D;20/02/25;00:00;1246;831216
TRNFP;D;21/02/25;00:00;1235.2;1142763
TRNFP;D;22/02/25;00:00;1225.6;1211890
TRNFP;D;25/02/25;00:00;1237;1492181
TRNFP;D;26/02/25;00:00;1232.6;1290466
TRNFP;D;27/02/25;00:00;1197.6;1643650
